term	valence	score	VADER-score	standard deviation	human raters
hesitancy	negative	-0,225	-0,9	0.53852	[0, -1, 0, -2, -1, -1, -1, -1, -1, -1]
hesitant	negative	-0,25	-1	0.7746	[0, -1, 0, -1, -2, 0, -1, -2, -1, -2]
hesitantly	negative	-0,3	-1,2	0.4	[-1, -1, -2, -1, -1, -1, -1, -2, -1, -1]
hesitate	negative	-0,275	-1,1	0.53852	[-2, -1, -1, -1, -2, -1, -1, 0, -1, -1]
hesitated	negative	-0,325	-1,3	0.9	[-1, -2, -1, -2, -2, -2, -1, 1, -1, -2]
hesitater	negative	-0,35	-1,4	0.66332	[-1, -1, -1, -1, -1, -2, -1, -3, -2, -1]
hesitaters	negative	-0,35	-1,4	0.4899	[-1, -2, -1, -1, -1, -1, -2, -2, -2, -1]
hesitates	negative	-0,35	-1,4	0.4899	[-1, -1, -1, -2, -1, -2, -1, -2, -2, -1]
hesitating	negative	-0,35	-1,4	0.66332	[-1, -1, -2, -1, -1, -3, -2, -1, -1, -1]
hesitatingly	negative	-0,375	-1,5	0.80623	[-1, -1, -1, -1, -3, -2, -3, -1, -1, -1]
hesitation	negative	-0,275	-1,1	0.53852	[-2, 0, -1, -1, -1, -1, -1, -2, -1, -1]
hesitations	negative	-0,275	-1,1	0.53852	[-1, -1, -1, 0, -2, -1, -1, -2, -1, -1]
hid	negative	-0,1	-0,4	0.4899	[0, -1, 0, 0, -1, -1, -1, 0, 0, 0]
hide	negative	-0,175	-0,7	0.64031	[0, -1, -1, -1, -1, 0, 0, -2, -1, 0]
hides	negative	-0,175	-0,7	0.9	[-1, -2, -1, 0, -1, 0, 0, -2, 1, -1]
hiding	negative	-0,3	-1,2	0.4	[-1, -1, -2, -1, -1, -1, -1, -1, -2, -1]
highlight	positive	0,35	1,4	0.91652	[3, 0, 1, 1, 2, 1, 0, 2, 2, 2]
hilarious	positive	0,425	1,7	1.41774	[2, 2, 2, 3, 3, 1, -2, 2, 3, 1]
hindrance	negative	-0,425	-1,7	0.78102	[-2, -3, -2, -1, -1, -1, -3, -1, -2, -1]
hoax	negative	-0,275	-1,1	1.04403	[-3, -1, -2, -1, 1, -2, -1, -1, -1, 0]
holiday	positive	0,425	1,7	1.18743	[1, 3, 2, 2, 0, 0, 1, 2, 4, 2]
holidays	positive	0,4	1,6	1.0198	[2, 0, 1, 2, 3, 0, 1, 2, 3, 2]
homesick	negative	-0,175	-0,7	1.67631	[-2, -1, -1, -2, -1, -2, 2, -1, 3, -2]
homesickness	negative	-0,45	-1,8	1.249	[-3, -2, -1, -1, -3, -2, -1, 1, -3, -3]
homesicknesses	negative	-0,45	-1,8	0.6	[-1, -2, -2, -2, -1, -2, -1, -2, -3, -2]
honest	positive	0,575	2,3	0.9	[3, 2, 1, 2, 3, 1, 2, 3, 2, 4]
honester	positive	0,475	1,9	0.7	[2, 3, 2, 2, 1, 3, 1, 1, 2, 2]
honestest	positive	0,75	3	0.7746	[1, 3, 3, 3, 3, 3, 4, 4, 3, 3]
honesties	positive	0,45	1,8	1.07703	[4, 3, 1, 1, 1, 1, 3, 2, 1, 1]
honestly	positive	0,5	2	0.63246	[2, 3, 2, 2, 1, 2, 2, 1, 3, 2]
honesty	positive	0,55	2,2	0.6	[2, 3, 2, 2, 1, 2, 3, 2, 3, 2]
honor	positive	0,55	2,2	1.16619	[3, 2, 1, 2, 0, 4, 3, 1, 3, 3]
honorability	positive	0,55	2,2	0.4	[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]
honorable	positive	0,625	2,5	0.67082	[2, 2, 3, 2, 4, 3, 2, 2, 2, 3]
honorableness	positive	0,55	2,2	0.87178	[2, 4, 1, 3, 3, 2, 1, 2, 2, 2]
honorably	positive	0,6	2,4	0.66332	[2, 2, 3, 2, 3, 3, 3, 1, 2, 3]
honoraria	positive	0,15	0,6	0.8	[1, 0, 1, 0, 0, 0, 2, 0, 2, 0]
honoraries	positive	0,375	1,5	1.5	[2, 2, 1, 3, 3, 1, -2, 2, 3, 0]
honorarily	positive	0,475	1,9	0.7	[2, 2, 3, 1, 2, 1, 2, 1, 3, 2]
