term	valence	score	raw-score
instability	negative	-0.5625	2.75
revenge	negative	-0.5625	2.75
stealing	negative	-0.5625	2.75
tense	negative	-0.5625	2.75
terror	negative	-0.5625	2.75
trashy	negative	-0.5625	2.75
ugliness	negative	-0.5625	2.75
unattainable	negative	-0.5625	2.75
wetback	negative	-0.5625	2.75
anarchist	negative	-0.56	2.76
chickenpox	negative	-0.56	2.76
despicable	negative	-0.56	2.76
drab	negative	-0.56	2.76
faker	negative	-0.56	2.76
flood	negative	-0.56	2.76
inflammation	negative	-0.56	2.76
interrogate	negative	-0.56	2.76
misdemeanor	negative	-0.56	2.76
obnoxious	negative	-0.56	2.76
pileup	negative	-0.56	2.76
punishment	negative	-0.56	2.76
robbery	negative	-0.56	2.76
scurvy	negative	-0.56	2.76
sunburn	negative	-0.56	2.76
wimpy	negative	-0.56	2.76
adulterer	negative	-0.5575	2.77
boredom	negative	-0.5575	2.77
cult	negative	-0.5575	2.77
dictator	negative	-0.5575	2.77
heinous	negative	-0.5575	2.77
incompetent	negative	-0.5575	2.77
scold	negative	-0.5575	2.77
strep	negative	-0.5575	2.77
anguished	negative	-0.555	2.78
hearse	negative	-0.555	2.78
abscess	negative	-0.5525	2.79
alienate	negative	-0.5525	2.79
disappointing	negative	-0.5525	2.79
disappointment	negative	-0.5525	2.79
drought	negative	-0.5525	2.79
fungus	negative	-0.5525	2.79
gunfire	negative	-0.5525	2.79
gunshot	negative	-0.5525	2.79
illegitimate	negative	-0.5525	2.79
immoral	negative	-0.5525	2.79
menstrual	negative	-0.5525	2.79
nameless	negative	-0.5525	2.79
nothingness	negative	-0.5525	2.79
prostitution	negative	-0.5525	2.79
strangulation	negative	-0.5525	2.79
stricken	negative	-0.5525	2.79
unfeeling	negative	-0.5525	2.79
unworthy	negative	-0.5525	2.79
wartime	negative	-0.5525	2.79
aggressor	negative	-0.55	2.8
annoyed	negative	-0.55	2.8
blind	negative	-0.55	2.8
bloated	negative	-0.55	2.8
doomsday	negative	-0.55	2.8
grieve	negative	-0.55	2.8
hardship	negative	-0.55	2.8
hazardous	negative	-0.55	2.8
heartless	negative	-0.55	2.8
hectic	negative	-0.55	2.8
overwhelmed	negative	-0.55	2.8
penalty	negative	-0.55	2.8
psychopathic	negative	-0.55	2.8
putrid	negative	-0.55	2.8
scared	negative	-0.55	2.8
sore	negative	-0.55	2.8
urinal	negative	-0.55	2.8
useless	negative	-0.55	2.8
adultery	negative	-0.5475	2.81
bicker	negative	-0.5475	2.81
deadbeat	negative	-0.5475	2.81
decaying	negative	-0.5475	2.81
disrespect	negative	-0.5475	2.81
distraught	negative	-0.5475	2.81
drug dealing	negative	-0.5475	2.81
grumpy	negative	-0.5475	2.81
limp	negative	-0.5475	2.81
malice	negative	-0.5475	2.81
nutcase	negative	-0.5475	2.81
obesity	negative	-0.5475	2.81
oppressor	negative	-0.5475	2.81
prick	negative	-0.5475	2.81
repression	negative	-0.5475	2.81
unsatisfied	negative	-0.5475	2.81
audit	negative	-0.545	2.82
crucifixion	negative	-0.545	2.82
duress	negative	-0.545	2.82
forbid	negative	-0.545	2.82
glum	negative	-0.545	2.82
shot	negative	-0.545	2.82
whine	negative	-0.545	2.82
repugnant	negative	-0.5425	2.83
spoil	negative	-0.5425	2.83
abandon	negative	-0.54	2.84
agitation	negative	-0.54	2.84
bogus	negative	-0.54	2.84
bomber	negative	-0.54	2.84
catheter	negative	-0.54	2.84
chaos	negative	-0.54	2.84
courtroom	negative	-0.54	2.84
disagree	negative	-0.54	2.84
discomfort	negative	-0.54	2.84
fallout	negative	-0.54	2.84
ghoul	negative	-0.54	2.84
hypertension	negative	-0.54	2.84
ignorance	negative	-0.54	2.84
incriminate	negative	-0.54	2.84
infect	negative	-0.54	2.84
intimidate	negative	-0.54	2.84
lawsuit	negative	-0.54	2.84
manipulation	negative	-0.54	2.84
mucus	negative	-0.54	2.84
prohibition	negative	-0.54	2.84
prowler	negative	-0.54	2.84
quarantine	negative	-0.54	2.84
quarrel	negative	-0.54	2.84
stupid	negative	-0.54	2.84
sullen	negative	-0.54	2.84
tattler	negative	-0.54	2.84
terrify	negative	-0.54	2.84
unsafe	negative	-0.54	2.84
angina	negative	-0.5375	2.85
bald	negative	-0.5375	2.85
bloodshot	negative	-0.5375	2.85
carcass	negative	-0.5375	2.85
contagion	negative	-0.5375	2.85
cowardly	negative	-0.5375	2.85
